#TYPE System.Management.Automation.PSCustomObject
"HighLow","Date","Price"
"Low","9/26/2017 9:31:00 AM","2497.25"
"High","9/26/2017 9:36:00 AM","2500.75"
"Low","9/26/2017 9:44:00 AM","2498.75"
"High","9/26/2017 9:53:00 AM","2501.25"
"Low","9/26/2017 10:04:00 AM","2499"
"High","9/26/2017 10:10:00 AM","2501"
"Low","9/26/2017 11:27:00 AM","2492.25"
"High","9/26/2017 12:04:00 PM","2496.75"
"Low","9/26/2017 12:28:00 PM","2494.5"
"High","9/26/2017 12:30:00 PM","2497.75"
"Low","9/26/2017 12:39:00 PM","2494.25"
"High","9/26/2017 1:55:00 PM","2499.25"
"Low","9/26/2017 2:39:00 PM","2496.25"
"High","9/26/2017 3:39:00 PM","2499"
"Low","9/26/2017 3:57:00 PM","2493.5"
"Low","9/27/2017 9:30:00 AM","2503"
"High","9/27/2017 9:35:00 AM","2505"
"Low","9/27/2017 10:38:00 AM","2496.25"
"High","9/27/2017 10:45:00 AM","2498.25"
"Low","9/27/2017 10:55:00 AM","2493"
"High","9/27/2017 11:28:00 AM","2498.5"
"Low","9/27/2017 11:34:00 AM","2496.25"
"High","9/27/2017 11:38:00 AM","2498.25"
"Low","9/27/2017 12:05:00 PM","2495.75"
"High","9/27/2017 2:17:00 PM","2508"
"Low","9/27/2017 2:34:00 PM","2505.25"
"High","9/27/2017 3:22:00 PM","2509.25"
"Low","9/28/2017 9:30:00 AM","2500.75"
"High","9/28/2017 9:31:00 AM","2503.5"
"Low","9/28/2017 9:37:00 AM","2500.5"
"High","9/28/2017 9:49:00 AM","2504"
"Low","9/28/2017 9:58:00 AM","2501.5"
"High","9/28/2017 10:00:00 AM","2503.75"
"Low","9/28/2017 10:18:00 AM","2500"
"High","9/28/2017 10:42:00 AM","2505.75"
"Low","9/28/2017 11:18:00 AM","2502.5"
"High","9/28/2017 11:44:00 AM","2506"
"Low","9/28/2017 11:57:00 AM","2503.75"
"High","9/28/2017 12:17:00 PM","2507"
"Low","9/28/2017 12:41:00 PM","2505"
"High","9/28/2017 2:01:00 PM","2508.25"
"Low","9/28/2017 2:48:00 PM","2505.5"
"High","9/28/2017 3:11:00 PM","2507.5"
"Low","9/28/2017 3:36:00 PM","2504.5"
"Low","9/29/2017 9:30:00 AM","2506.25"
"High","9/29/2017 9:35:00 AM","2509.25"
"Low","9/29/2017 9:52:00 AM","2504.75"
"High","9/29/2017 1:33:00 PM","2515"
"Low","9/29/2017 2:13:00 PM","2512.5"
"High","9/29/2017 2:30:00 PM","2514.75"
"Low","9/29/2017 2:44:00 PM","2512.75"
"Low","10/2/2017 9:30:00 AM","2517.5"
"High","10/2/2017 10:18:00 AM","2525.75"
"Low","10/2/2017 10:31:00 AM","2522"
"High","10/2/2017 10:49:00 AM","2524.25"
"Low","10/2/2017 11:25:00 AM","2520"
"High","10/2/2017 11:39:00 AM","2522.75"
"Low","10/2/2017 12:00:00 PM","2519"
"High","10/2/2017 3:11:00 PM","2525.5"
"Low","10/2/2017 3:16:00 PM","2523.5"
"High","10/3/2017 9:38:00 AM","2528.75"
"Low","10/3/2017 9:45:00 AM","2526"
"High","10/3/2017 9:53:00 AM","2529.25"
"Low","10/3/2017 10:14:00 AM","2526"
"High","10/3/2017 10:39:00 AM","2528"
"Low","10/3/2017 11:13:00 AM","2525.75"
"High","10/3/2017 3:39:00 PM","2532.5"
"Low","10/3/2017 3:49:00 PM","2530.5"
"Low","10/4/2017 9:30:00 AM","2529.5"
"High","10/4/2017 9:40:00 AM","2532.5"
"Low","10/4/2017 9:47:00 AM","2529"
"High","10/4/2017 12:18:00 PM","2538"
"Low","10/4/2017 1:47:00 PM","2532.75"
"High","10/4/2017 2:06:00 PM","2535.5"
