date,symbol,rank,buytext,buypoint
5/4/2009,AAN,28,16% extended past 28.99 buy point on 4-month cup base.,28.99
5/11/2009,AAN,37,"Slips on light trade, but still 12% past 28.99 buy point.",28.99
5/18/2009,AAN,32,4% past 28.99 buy point in long 7-month cup w/handle.,28.99
1/12/2009,AAON,35,Forming handle w/21.38 buy pt in 1 1/2-yr double-bottom.,21.38
1/20/2009,AAON,39,Tries to form handle w/21.38 buy pt in 1 1/2-yr double-bottom.,21.38
1/3/2012,AAP,44,Backunder 71.10buy pointafterpoking aboveinlow volume.,71.1
1/9/2012,AAP,27,Clears71.10buy point;undercut resetsto stage1.,71.1
1/17/2012,AAP,33,1%above 71.10trigger.Volume kicksinlate.,71.1
1/23/2012,AAP,21,5%above 71.10trigger.Volume kickedin late.,71.1
1/30/2012,AAP,29,Extended6% above71.10 buypointin cup-with-handlebase.,71.1
2/6/2012,AAP,28,8%above 71.10trigger incup-with-handlebase.,71.1
2/13/2012,AAP,26,13%above71.10trigger incup-with-handle base.,71.1
11/28/2011,AAP,37,Retesting67.03buy pointincup-with-handle base.,67.03
11/29/2010,AAP,36,20% over 55.88 buy pt after light-vol dip to 10-wk avg.,55.88
12/6/2010,AAP,44,A few days shy of a square box base with 68.98 buy point.,68.98
12/12/2011,AAP,48,Newhandleforms with buypoint of71.10.,71.1
12/13/2010,AAP,31,"Clears 68.98 square-box buy point, then eases below it.",68.98
12/19/2011,AAP,43,Newhandleforms with buypoint of71.10.,71.1
12/20/2010,AAP,33,Breakout from 68.98 square-box buy point goes in reverse.,68.98
12/27/2010,AAP,39,Tests support at 10-week; below 68.98 square-box buy point.,68.98
12/27/2011,AAP,43,Longhandleforming with buypoint of71.10.,71.1
1/3/2011,AAPL,33,"Wedges higher, past 321.40 buy point in later-stage base.",321.4
1/4/2010,AAPL,36,1% past 208.81 buy pt after clearing 2-month flat base.,208.81
1/9/2012,AAPL,5,Nearing426.80buy point. Butit'sa late-stagepattern.,426.8
1/10/2011,AAPL,24,5% past 321.40 buy point from later-stage base.,321.4
1/17/2012,AAPL,29,2%below427.85 cup w/ handlebuypoint; late-stage base.,427.85
1/18/2011,AAPL,25,At new high and 8% past 321.40 trigger in later-stage base.,321.4
1/23/2012,AAPL,34,Justunder 427.85cup with handlebuy point;had longrun.,427.85
1/24/2011,AAPL,28,2% past 321.40 entry after last week's 6% sell-off.,321.4
1/30/2012,AAPL,8,Now5% above427.85 cup-with-handlebuy point.,427.85
1/31/2011,AAPL,21,5% past 321.40 buy pt. Found support at 10-week line.,321.4
2/6/2012,AAPL,13,Now7% above427.85 cup-with-handlebuy point.,427.85
2/7/2011,AAPL,28,8% past 321.40 trigger; climbs above support at 10-week line.,321.4
2/13/2012,AAPL,4,Now15%above 427.85 cup-with-handlebuypoint.,427.85
2/21/2012,AAPL,5,Now17%above 427.85 cup-with-handlebuypoint.,427.85
2/27/2012,AAPL,7,22%past427.85 cup-with-handleentry;goodaccumulation.,427.85
3/5/2012,AAPL,3,27%past427.85 cup-with-handleentry;goodaccumulation.,427.85
3/12/2012,AAPL,3,27%past427.85 cup-with-handleentry;goodaccumulation.,427.85
3/15/2010,AAPL,41,5% past 215.69 buy point from eight-week cup base.,215.69
3/19/2012,AAPL,1,Extended37%past 427.85entry;reversed loweras ithit600,427.85
3/26/2012,AAPL,1,Nearly40%past 427.85entry;no newentry since January.,427.85
3/29/2010,AAPL,42,Hits new high and 7% past 215.69 buy point from cup base.,215.69
4/2/2012,AAPL,2,Nearshighsand 40%past427.85 buy pointincup with handle.,427.85
4/5/2010,AAPL,42,9% past 215.69 buy point from 2-month long cup base.,215.69
4/9/2012,AAPL,1,48%past427.85 buypoint incup withhandle; nosell signs.,427.85
4/12/2010,AAPL,41,12% past 215.69 buy point from 2-month long cup base.,215.69
4/26/2010,AAPL,20,26% past 215.69 buy pt after breakout from 8-wk cup base.,215.69
5/3/2010,AAPL,25,21% past 215.69 buy pt after breakout from 8-wk cup base.,215.69
5/19/2014,AAPL,43,4%past575.23 buy point;strong volume onbreakout.,575.23
6/2/2014,AAPL,49,Newhighs butextended 10%past575.23 buy point.,575.23
6/21/2010,AAPL,10,Breaks out above cup-with-handle's 266.04 buy point.,266.04
6/28/2010,AAPL,13,Retreats on light trade. Now just above 266.04 trigger.,266.04
7/16/2012,AAPL,5,Fourdaysinto ahandlewith possible619.97 buy point.,619.97
7/23/2012,AAPL,2,Sketcheshandlein cupbase with possible619.97 buypoint.,619.97
7/30/2012,AAPL,6,"Holdsabove10-weekline; stillin cup withhandle, 619.97entry.",619.97
8/3/2009,AAPL,38,Extended 13% past 144.76 buy point from cup-with-handle.,144.76
8/6/2012,AAPL,5,Nearing619.97buy pointincup-with-handle base.,619.97
8/9/2010,AAPL,44,Forming base with possible 279.11 buy point.,279.11
8/10/2009,AAPL,50,14% past 144.76 buy point from cup-with-handle.,144.76
8/13/2012,AAPL,5,"Clears619.97 buypoint base,but did soinlighttrade.",619.97
8/17/2009,AAPL,45,15% past 144.76 buy point from cup-with-handle.,144.76
8/20/2012,AAPL,5,Morethan 4%past619.97 buy pointincup with handle.,619.97
8/27/2012,AAPL,5,Extended7% past619.97 buypoint incup withhandle.,619.97
8/31/2009,AAPL,49,17% past 144.76 buy point; RS line holds near high.,144.76
9/4/2012,AAPL,5,7%past619.97 buy pointincup with handle.,619.97
9/10/2012,AAPL,5,10%past619.97 buypoint incup withhandle; holding tight.,619.97
9/17/2012,AAPL,5,Extended12%past 619.97buy pointfrom cup with handle.,619.97
9/19/2011,AAPL,6,"Clears392.18 buypoint indull volume, buthigherweekly trade.",392.18
9/20/2010,AAPL,47,3% past 266.09 double-bottom trigger. Lacking volume.,266.09
9/24/2012,AAPL,4,Climbs13%past 619.97buy pointand cracks$700 mark.,619.97
9/26/2011,AAPL,4,2%past392.18 buy ptincup w/ handlebase.,392.18
9/27/2010,AAPL,38,Up 10% from 266.09 double-bottom entry; big volume late.,266.09
9/28/2009,AAPL,48,6% past 172.59 entry in three-weeks-tight; 3% off high.,172.59
10/1/2012,AAPL,10,8%above 619.97buy point; almost touched10-weekline.,619.97
10/4/2010,AAPL,33,Pulls back to 6% past 266.09 double-bottom buy point.,266.09
10/5/2009,AAPL,37,Now 7% past 172.59 entry in three-weeks-tight pattern.,172.59
10/8/2012,AAPL,18,Easesto5% past619.97 buy pointasit tests10-weekline.,619.97
10/11/2010,AAPL,28,Extended 11% past 266.09 double-bottom buy point.,266.09
10/15/2012,AAPL,27,Gainfrom 619.97 buy ptdowntojust 2%;below10-weekline.,619.97
10/18/2010,AAPL,16,Extended 18% past 266.09 double-bottom buy point.,266.09
10/22/2012,AAPL,21,"Erasedgains from 619.97buy point, 13%offhigh",619.97
10/25/2010,AAPL,20,Extended 16% past 266.09 double-bottom buy point.,266.09
10/26/2009,AAPL,34,18% past 172.59 three-weeks-tight buy point.,172.59
11/1/2010,AAPL,27,"Easing, but still 13% past 266.09 double-bottom buy point.",266.09
11/8/2010,AAPL,20,"Hits new high, 19% past 266.09 double-bottom buy point.",266.09
11/15/2010,AAPL,20,Extended 16% past 266.09 double-bottom buy point.,266.09
11/22/2010,AAPL,21,10-wk rebound. 1st pullback since clearing 266.09 buy pt.,266.09
12/28/2009,AAPL,45,Cleared 208.10 buy point from a flat base with handle.,208.1
8/17/2009,ABAX,49,"Easing, 28% beyond buy range to 21.98 from pullback.",21.98
6/14/2010,ABC,43,Finds support after dip to 10-wk; 32.59 possible buy pt.,32.59
4/29/2013,ABG,23,3%past38.35buy pointinodd flatbase.,38.35
5/5/2014,ABG,15,Extendedafter 10-weekbounce; 15%above54.95 buypoint.,54.95
5/6/2013,ABG,24,6%past38.35entry inirregular flatbase.,38.35
5/12/2014,ABG,12,Extendedafter 10-weekbounce; 14%above54.95 buypoint.,54.95
5/13/2013,ABG,19,10%past38.35buy pointfrom irregular flatbase.,38.35
5/20/2013,ABG,24,9%past38.35buy pointinirregular flat base.,38.35
5/27/2014,ABG,12,Forms3-weeks-tight patternwith 65.48buy point.,65.48
6/2/2014,ABG,13,Below65.48buypoint of three-weeks-tightpattern.,65.48
6/9/2014,ABG,17,Justabove65.48 buypointof three-weeks-tight.,65.48
1/3/2011,ABV,23,6% past 29.17 buy point in flat base; split shrs 5-for-1.,29.17
1/10/2011,ABV,31,4% past 29.17 flat-base buy point; splits shares 5-for-1.,29.17
5/9/2011,ABV,28,Clears32.10cup buy pointinstrong trade.,32.1
5/16/2011,ABV,37,Clears32.10cup buy pointinstrong-but-latetrade.,32.1
5/23/2011,ABV,40,Pullbackfrom32.10 cup buypointmay turn intohigh handle.,32.1
5/31/2011,ABV,34,Pullbackfrom32.10 cup buyptmay turn intohigh handle.,32.1
6/6/2011,ABV,30,"Pullbackfrom32.10 cup buypointis calm,tight,orderly.",32.1
6/27/2011,ABV,29,Etchesbase-on-basepattern with potential33.34buy point.,33.34
6/28/2010,ABV,41,Eases below 107.60 buy point in six-month cup base.,107.6
7/5/2011,ABV,30,"3%past33.34entry infirst stage, base-on-basepattern.",33.34
7/12/2010,ABV,36,Below 109.43 buy point in cup-with-high-handle base.,109.43
7/19/2010,ABV,40,Cup with high handle appears with buy point at 109.43.,109.43
8/2/2010,ABV,50,Near 109.43 trigger in high handle or bounce off 10-wk line.,109.43
8/22/2011,ABV,12,Regains10-wkaverageonhigh vol; possible34.78 buypoint.,34.78
8/29/2011,ABV,12,Rightside of V-shapedcup forms withbuy pointat 34.78.,34.78
9/6/2011,ABV,14,Hoversjustbelow34.78 buypointfrom V-shapedbase.,34.78
9/12/2011,ABV,22,"Down7% from 34.78entry, but findssupportat 10-weekline.",34.78
9/19/2011,ABV,25,"Down6% from 34.78entry, but findssupportat 10-weekline.",34.78
11/1/2010,ABV,43,Pauses off after 27% sprint from 112.70 square box buy point.,112.7
11/7/2011,ABV,38,Addedhandleto baseonbase. Buy pointat34.89.,34.89
11/8/2010,ABV,25,Briefly clear three-weeks-tight pattern of 143.63.,143.63
11/29/2010,ABV,39,In sixth week of flat base with 145.46 buy point.,145.46
12/6/2010,ABV,43,Forming flat base w/ 145.46 buy pt; gets 10-wk support.,145.46
12/20/2010,ABV,28,Pokes briefly above 145.46 buy point in flat base; no volume.,145.46
12/27/2010,ABV,22,4% past 145.46 five-week flat base trigger.,145.46
1/11/2010,ABVT,26,Formed three-weeks-tight with potential 67.10 buy pt.,67.1
11/9/2009,ABVT,23,Just above 53.54 buy pt after bounce off 10-wk avg.,53.54
11/16/2009,ABVT,26,Just above 63.64 buy pt after rebound from 10-wk line.,63.64
11/23/2009,ABVT,44,Dips under 53.64 buy pt after light-volume pullback to 10-wk.,53.64
12/14/2009,ABVT,25,6% past 57.03 buy pt after pullback to 10-week avg.,57.03
1/3/2011,ABX,46,"Retreats to 10-week line, shapes square box w/ 55.82 trigger.",55.82
9/6/2011,ABX,37,Clears52.88trigger;trade was only21%above average.,52.88
9/19/2011,ABX,32,Clears52.88handlebuy point.Volume kicks inabitlate.,52.88
1/5/2009,ACM,10,Extended 18% past 27.30 buy point from cup with handle.,27.3
1/12/2009,ACM,9,Extended 8% past 27.30 buy pt after giving up some gains.,27.3
1/20/2009,ACM,18,Dives 17% below 27.30 buy point; contemplating rebound.,27.3
1/26/2009,ACM,15,Dives below 27.30 buy pt; struggles for support at 10-week.,27.3
2/2/2009,ACM,17,Dives below 27.30 buy pt; struggles for support at 10-week.,27.3
2/9/2009,ACM,20,Dives below 27.30 buy pt; struggles for support at 10-week.,27.3
5/11/2009,ACM,29,Bounces off key moving avgs; now 8% over 28.76 buy point.,28.76
5/18/2009,ACM,38,"Trading wide and loose, but still 4% past 28.76 buy point.",28.76
12/15/2008,ACM,14,5% above 27.30 buy point in cup with handle after slip.,27.3
12/22/2008,ACM,14,"7% past 27.30 buy pt, but loses most of week's gains.",27.3
12/29/2008,ACM,15,Extended 10% past 27.30 buy point from cup with handle.,27.3
3/21/2011,ACOM,30,Hasgivenup mostgains since risingtonew highspast 30.70.,30.7
4/18/2011,ACOM,45,Cup-with-handleoffers 35.90entry;baseis laterstage.,35.9
5/2/2011,ACOM,23,18%over 38.79buypt in2-mos base;breakout on Q1results.,38.79
7/18/2011,ACOM,21,Nearing45.89buypoint incup withouthandle. Volume rising.,45.89
7/25/2011,ACOM,24,Nearing45.89buypoint incup base.Volume rising.,45.89
7/30/2012,ACOM,28,12%over 29.52buypt; breakout from cup w/handlebase.,29.52
9/17/2012,ACOM,35,"Flatbaseappears, just13%deep, with buypoint at33.90.",33.9
9/24/2012,ACOM,19,Formingflatbase w/33.90buy pt; gets10-weeksupport.,33.9
10/1/2012,ACOM,31,Formingflatbase with33.90entry. Has sometightaction.,33.9
1/6/2014,ACT,13,"Afterbig run,just above166.42 three-weeks-tightbuy point.",166.42
1/13/2014,ACT,6,"Extendedpast166.42 three-weeks-tight entry,pullback.",166.42
1/21/2014,ACT,4,Extendedfrom 166.42 three-weeks-tightbuy point.,166.42
1/27/2014,ACT,3,Extendedfrom 166.42 three-weeks-tightbuy point.,166.42
2/3/2014,ACT,4,Extendedafter three-weeks-tightbreakout over 166.42.,166.42
2/10/2014,ACT,8,Extendedafter three-weeks-tightbreakout over 166.42.,166.42
2/18/2014,ACT,9,Extendedafter three-weeks-tightbreakout over 166.42.,166.42
2/24/2014,ACT,5,Wellextended afterthree-weeks-tightbreakout over 166.42.,166.42
3/3/2014,ACT,5,Extendedafter three-weeks-tightbreakout over 166.42.,166.42
3/17/2014,ACT,4,29%past166.42 in3-weeks-tight; inprofit-takingzone.,166.42
3/24/2014,ACT,4,26%past166.42 entryin3-weeks-tight; take profits.,166.42
4/21/2014,ACT,6,Forminglater-stage basewith potentialbuy pointat230.87.,230.87
4/28/2014,ACT,5,Forminglater-stage basewith potentialentryat 230.87.,230.87
