"Date","Outlook"
"2008/09/15","-1"
"2008/09/16","-2"
"2008/09/17","-3"
"2008/09/18","-4"
"2008/09/19","-5"
"2008/09/22","-6"
"2008/09/23","-7"
"2008/09/24","-8"
"2008/09/25","-9"
"2008/09/26","-8"
"2008/09/29","-7"
"2008/09/30","-8"
"2008/10/01","-9"
"2008/10/02","-10"
"2008/10/03","-11"
"2008/10/06","-12"
"2008/10/07","-13"
"2008/10/08","-14"
"2008/10/09","-15"
"2008/10/10","-16"
"2008/10/13","-17"
"2008/10/14","-18"
"2008/10/16","-19"
"2008/10/20","-18"
"2008/10/21","-17"
"2008/10/22","-16"
"2008/10/23","-17"
"2008/10/24","-18"
"2008/10/27","-19"
"2008/10/28","-20"
"2008/10/29","-19"
"2008/10/30","-18"
"2008/10/31","-17"
"2008/11/03","-16"
"2008/11/04","-15"
"2008/11/05","-14"
"2008/11/06","-13"
"2008/11/07","-13"
"2008/11/10","-13"
"2008/11/11","-13"
"2008/11/12","-13"
"2008/11/13","-14"
"2008/11/14","-15"
"2008/11/17","-16"
"2008/11/18","-17"
"2008/11/19","-18"
"2008/11/20","-19"
"2008/11/21","-20"
"2008/11/24","-21"
"2008/11/25","-22"
"2008/11/26","-23"
"2008/11/28","-24"
"2008/12/01","-25"
"2008/12/02","-26"
"2008/12/03","-25"
"2008/12/04","-24"
"2008/12/05","-23"
"2008/12/08","-22"
"2008/12/09","-21"
"2008/12/10","-20"
"2008/12/11","-19"
"2008/12/12","-18"
"2008/12/15","-17"
"2008/12/16","-16"
"2008/12/17","-15"
"2008/12/18","-14"
"2008/12/19","-13"
"2008/12/22","-12"
"2008/12/23","-11"
"2008/12/24","-10"
"2008/12/26","-9"
"2008/12/29","-8"
"2008/12/30","-7"
"2008/12/31","-6"
"2009/01/02","-5"
"2009/01/05","-4"
"2009/01/06","-3"
"2009/01/07","-2"
"2009/01/08","-2"
"2009/01/09","-2"
"2009/01/12","-2"
"2009/01/13","-3"
"2009/01/14","-4"
"2009/01/15","-5"
"2009/01/16","-6"
"2009/01/20","-7"
"2009/01/21","-8"
"2009/01/22","-9"
"2009/01/23","-10"
"2009/01/26","-11"
"2009/01/27","-12"
"2009/01/28","-13"
"2009/01/29","-12"
"2009/01/30","-11"
"2009/02/02","-11"
"2009/02/03","-11"
"2009/02/04","-11"
"2009/02/05","-11"
"2009/02/06","-11"
"2009/02/09","-10"
"2009/02/10","-9"
"2009/02/11","-9"
"2009/02/12","-9"
"2009/02/13","-9"
"2009/02/17","-9"
"2009/02/18","-10"
"2009/02/19","-11"
"2009/02/20","-12"
"2009/02/23","-13"
"2009/02/24","-14"
"2009/02/25","-15"
"2009/02/26","-16"
"2009/02/27","-17"
"2009/03/02","-18"
"2009/03/03","-19"
"2009/03/04","-20"
"2009/03/05","-21"
"2009/03/06","-22"
"2009/03/09","-23"
"2009/03/10","-24"
"2009/03/11","-25"
"2009/03/12","-26"
"2009/03/13","-25"
"2009/03/16","-24"
"2009/03/17","-23"
"2009/03/18","-22"
"2009/03/19","-21"
"2009/03/20","-20"
"2009/03/23","-19"
"2009/03/24","-18"
"2009/03/25","-17"
"2009/03/26","-16"
"2009/03/27","-15"
"2009/03/30","-14"
"2009/03/31","-13"
"2009/04/01","-12"
"2009/04/02","-11"
"2009/04/03","-10"
"2009/04/06","-9"
"2009/04/07","-8"
"2009/04/08","-7"
"2009/04/09","-6"
"2009/04/13","-5"
"2009/04/14","-4"
"2009/04/15","-3"
"2009/04/16","-2"
"2009/04/17","-1"
"2009/04/20","0"
"2009/04/21","1"
"2009/04/22","2"
"2009/04/23","3"
"2009/04/24","4"
"2009/04/27","5"
"2009/04/28","6"
"2009/04/29","7"
"2009/04/30","8"
"2009/05/01","9"
"2009/05/04","10"
"2009/05/05","11"
"2009/05/06","12"
"2009/05/07","13"
"2009/05/08","14"
"2009/05/11","15"
"2009/05/12","16"
"2009/05/13","17"
"2009/05/14","17"
"2009/05/15","17"
"2009/05/18","17"
"2009/05/19","17"
"2009/05/20","17"
"2009/05/21","17"
"2009/05/22","17"
"2009/05/26","17"
"2009/05/27","18"
"2009/05/28","19"
"2009/05/29","20"
"2009/06/01","21"
"2009/06/02","22"
"2009/06/03","23"
"2009/06/04","24"
"2009/06/05","25"
"2009/06/08","26"
"2009/06/09","27"
"2009/06/10","28"
"2009/06/11","29"
"2009/06/12","30"
"2009/06/15","31"
"2009/06/16","31"
"2009/06/17","31"
"2009/06/18","31"
"2009/06/19","31"
"2009/06/22","31"
"2009/06/23","31"
"2009/06/24","31"
"2009/06/25","31"
"2009/06/26","32"
"2009/06/29","33"
"2009/06/30","34"
"2009/07/01","35"
"2009/07/02","36"
"2009/07/06","37"
"2009/07/07","38"
"2009/07/08","38"
"2009/07/09","38"
"2009/07/10","38"
"2009/07/13","38"
"2009/07/14","39"
"2009/07/15","40"
"2009/07/16","41"
"2009/07/17","42"
"2009/07/20","43"
"2009/07/21","44"
