"date","symbol","rank","buytext","buypoint"
"01/03/11","LULU","1","Easing from record highs, still extended after rebound.",
"01/03/11","NFLX","5","Slips below 10-week line after multiple pullbacks.",
"01/03/11","APKT","9","Breaks upper channel line going back to July - a red flag.",
"01/03/11","RVBD","2","Near third test of 10-week line since July breakout.",
"01/03/11","DECK","6","Extended 45% from 54.86 cup with handle buy point.","54.86 "
"01/03/11","CXO","3","Extended after latest pullback to 10-week line.",
"01/03/11","FFIV","7","2% past 3-weeks-tight 128.05 buy point; tests 10-week line.","128.05 "
"01/03/11","PCLN","4","In flat base with 428.20 buy point. Support at 10-week line.","428.20 "
"01/03/11","SLW","8","Found support in 2nd pullback to 10-week after breakout.",
"01/03/11","CMG","13","Gap-down, bottom-of-range dive below 10-week hurts chart.",
"01/03/11","VMW","17","High handle/4-weeks tight structure has 92.05 buy point.","92.05 "
"01/03/11","SWKS","10","Extended after rebounding off 10-week line in November.",
"01/03/11","BIDU","14","RS line withers as stock extends stay below 10-week.",
"01/03/11","SINA","18","Still above its 10-wk line in 3rd week of consolidating.",
"01/03/11","CYD","11","Extended after clearing pullback to 10-week line.",
"01/03/11","ROVI","15","Near July, 2001 high after base-on-base breakout in Sept.",
"01/03/11","ILMN","19","Trades tightly 5 weeks in row despite mid-Dec. reversal.",
"01/03/11","CIS","12","Climbs 21% above 19.72 flat-base buy point; July IPO.","19.72 "
"01/03/11","ARUN","16","Falls below 10-week line after low-volume breakout.",
"01/03/11","EZPW","20","Forms 3-weeks-tight pattern with 28.85 entry, then eases.","28.85 "
"01/03/11","ABV","23","6% past 29.17 buy point in flat base; split shrs 5-for-1.","29.17 "
"01/03/11","EBIX","27","Regains 10-week avg as it forms a base.",
"01/03/11","ST","31","42% over 21.22 buy pt after breakout from 5-month cup.","21.22 "
"01/03/11","DLTR","35","Three weeks tight extends into possible flat base.",
"01/03/11","LYB","39","Extended after finding support at 10-week line in November.",
"01/03/11","COH","24","Its first test of 10-week line after late October breakout.",
"01/03/11","VIT","28","Halts a 3-week slide, but still living under 10-week line.",
"01/03/11","NOG","32","Extended, hitting highs after big rebound from 10-wk line.",
"01/03/11","AAP","40","Tests support at 10-week line; has made multiple pullbacks.",
"01/03/11","INFA","21","Tight trading in the past few weeks.",
"01/03/11","TSCO","25","Forms 3-weeks-tight pattern with 49.57 buy point.","49.57 "
"01/03/11","NTAP","29","Works on cup-with-handle base; 56.65 buy point.","56.65 "
"01/03/11","AAPL","33","Wedges higher, past 321.40 buy point in later-stage base.","321.40 "
"01/03/11","CHKP","37","27% extended from 36.31 buy point; trading tightly.","36.31 "
