"Symbol","Time","AverageVol"
"BITA","09:45:00","138017.169508754"
"BITA","10:00:00","287598.386484514"
"BITA","10:15:00","395476.898169901"
"BITA","10:30:00","503543.259879118"
"BITA","10:45:00","601901.532356774"
"BITA","11:00:00","686336.361068113"
"BITA","11:15:00","755172.123800566"
"BITA","11:30:00","830236.993323239"
"BITA","11:45:00","894346.449456116"
"BITA","12:00:00","949063.404397468"
"BITA","12:15:00","1000571.88093179"
"BITA","12:30:00","1046024.07269782"
"BITA","12:45:00","1091055.48041048"
"BITA","13:00:00","1135966.66410787"
"BITA","13:15:00","1176587.35326098"
"BITA","13:30:00","1220461.60482684"
"BITA","13:45:00","1261878.77808099"
"BITA","14:00:00","1308938.96605101"
"BITA","14:15:00","1351821.36949104"
"BITA","14:30:00","1402315.45589668"
"BITA","14:45:00","1447805.21766748"
"BITA","15:00:00","1498870.36814556"
"BITA","15:15:00","1543398.33779435"
"BITA","15:30:00","1591983.86795787"
"BITA","15:45:00","1642868.68241308"
"BITA","16:00:00","1781502"
"SLXP","09:45:00","75512.4426514792"
"SLXP","10:00:00","186742.318989611"
"SLXP","10:15:00","267139.155724305"
"SLXP","10:30:00","335544.829140959"
"SLXP","10:45:00","388495.332753256"
"SLXP","11:00:00","435372.95470126"
"SLXP","11:15:00","476370.944998154"
"SLXP","11:30:00","524045.723250541"
"SLXP","11:45:00","570604.482676792"
"SLXP","12:00:00","607365.466434636"
"SLXP","12:15:00","641271.181247693"
"SLXP","12:30:00","676186.627379634"
"SLXP","12:45:00","742978.663186205"
"SLXP","13:00:00","783126.353425091"
"SLXP","13:15:00","820070.92469546"
"SLXP","13:30:00","860247.602436323"
"SLXP","13:45:00","920024.662764331"
"SLXP","14:00:00","966462.640932342"
"SLXP","14:15:00","1016369.456837"
"SLXP","14:30:00","1049212.29657755"
"SLXP","14:45:00","1108298.48810842"
"SLXP","15:00:00","1166466.74207668"
"SLXP","15:15:00","1205764.13225755"
"SLXP","15:30:00","1278286.03095502"
"SLXP","15:45:00","1386791.08210726"
"SLXP","16:00:00","1649070"
"XRS","09:45:00","32330.1959980584"
"XRS","10:00:00","75102.4961706488"
"XRS","10:15:00","104034.932716682"
"XRS","10:30:00","126986.969419125"
"XRS","10:45:00","157378.040073351"
"XRS","11:00:00","181471.243460439"
"XRS","11:15:00","202037.984385955"
"XRS","11:30:00","228688.087562699"
"XRS","11:45:00","247547.368561566"
"XRS","12:00:00","266827.079391619"
"XRS","12:15:00","287659.806536864"
"XRS","12:30:00","304777.306806537"
"XRS","12:45:00","324649.051480503"
"XRS","13:00:00","337974.103068874"
"XRS","13:15:00","350286.690982148"
"XRS","13:30:00","369583.562213473"
"XRS","13:45:00","384873.479747586"
"XRS","14:00:00","399751.547651151"
"XRS","14:15:00","418104.59681247"
"XRS","14:30:00","431944.460439027"
"XRS","14:45:00","446796.787740683"
"XRS","15:00:00","465106.935898819"
"XRS","15:15:00","491911.482687018"
"XRS","15:30:00","516879.866539022"
"XRS","15:45:00","543332.625101127"
"XRS","16:00:00","636342"
"TRN","09:45:00","219805.391090889"
"TRN","10:00:00","386330.563280446"
"TRN","10:15:00","536197.875387871"
"TRN","10:30:00","661523.635970158"
"TRN","10:45:00","761589.526755769"
"TRN","11:00:00","856609.380096685"
"TRN","11:15:00","953154.917700292"
"TRN","11:30:00","1033659.99274441"
"TRN","11:45:00","1109231.82412201"
"TRN","12:00:00","1171410.87846993"
"TRN","12:15:00","1232034.56598195"
"TRN","12:30:00","1285712.53136422"
"TRN","12:45:00","1338476.2734918"
"TRN","13:00:00","1400904.66145463"
"TRN","13:15:00","1455496.85009158"
"TRN","13:30:00","1522342.00494718"
"TRN","13:45:00","1593117.132495"
"TRN","14:00:00","1659481.4296647"
"TRN","14:15:00","1739048.53539557"
"TRN","14:30:00","1812411.98332678"
"TRN","14:45:00","1876662.88128434"
"TRN","15:00:00","1945823.27684986"
"TRN","15:15:00","2051232.03081221"
"TRN","15:30:00","2146821.78955864"
"TRN","15:45:00","2282144.64079607"
"TRN","16:00:00","2839150"
"SWKS","09:45:00","101546.473698676"
"SWKS","10:00:00","256741.060421461"
"SWKS","10:15:00","455899.325596564"
"SWKS","10:30:00","587619.817451625"
"SWKS","10:45:00","696249.937318221"
"SWKS","11:00:00","813620.411656842"
"SWKS","11:15:00","928420.551788359"
"SWKS","11:30:00","1035357.41831473"
"SWKS","11:45:00","1132634.21362672"
"SWKS","12:00:00","1206875.45450443"
"SWKS","12:15:00","1268746.20065553"
"SWKS","12:30:00","1334752.62672754"
"SWKS","12:45:00","1401215.86575105"
"SWKS","13:00:00","1464109.87291351"
"SWKS","13:15:00","1534337.25065738"
"SWKS","13:30:00","1603949.45362656"
"SWKS","13:45:00","1672970.84517847"
"SWKS","14:00:00","1754131.27956156"
"SWKS","14:15:00","1853558.14116527"
"SWKS","14:30:00","1937337.63647029"
"SWKS","14:45:00","2024345.27663258"
"SWKS","15:00:00","2107765.41241575"
"SWKS","15:15:00","2213191.7507825"
"SWKS","15:30:00","2347452.1226479"
"SWKS","15:45:00","2486865.34460621"
"SWKS","16:00:00","2969540"
"THRM","09:45:00","43132.3343712575"
"THRM","10:00:00","78130.3808383233"
"THRM","10:15:00","111079.702035928"
"THRM","10:30:00","143198.622754491"
"THRM","10:45:00","171941.389700599"
"THRM","11:00:00","192968.099640719"
"THRM","11:15:00","211958.206946108"
"THRM","11:30:00","229554.211257485"
"THRM","11:45:00","247301.748502994"
"THRM","12:00:00","264758.34251497"
"THRM","12:15:00","278305.386826347"
"THRM","12:30:00","291670.591616766"
"THRM","12:45:00","314376.286467066"
"THRM","13:00:00","333748.256766467"
"THRM","13:15:00","352423.175568862"
"THRM","13:30:00","370582.88239521"
"THRM","13:45:00","389966.975329341"
"THRM","14:00:00","412769.651257485"
"THRM","14:15:00","436723.97748503"
"THRM","14:30:00","461817.831377245"
"THRM","14:45:00","480741.264191617"
"THRM","15:00:00","496755.264670659"
"THRM","15:15:00","517963.814131737"
"THRM","15:30:00","544536.629461078"
"THRM","15:45:00","575697.862035928"
"THRM","16:00:00","683262"
"ACT","09:45:00","75638.8941953064"
"ACT","10:00:00","186193.669363587"
"ACT","10:15:00","298336.43607374"
"ACT","10:30:00","412326.322652682"
"ACT","10:45:00","504914.867154754"
"ACT","11:00:00","577995.69966127"
"ACT","11:15:00","646571.685869084"
"ACT","11:30:00","717300.430485127"
"ACT","11:45:00","787524.207079487"
"ACT","12:00:00","847436.005125787"
"ACT","12:15:00","897500.926749262"
"ACT","12:30:00","950848.140513678"
"ACT","12:45:00","1005431.197068"
"ACT","13:00:00","1054399.80653914"
