"OpenDate","Symbol","BuyPrice","AdjPrice","OrigValue","OrigOutlook","Shares","CurrentDate","CurrentPrice","CurrentValue","Buytext","BuyPoint","Open","GainLoss","TrailStop","TrailMax","Outlook","ExitReason"
"3/17/2009 12:00:00 AM","CPSI","29.94","24.61","265788.00","uptrend","10800","1/29/2010 12:00:00 AM","33.81","365148.00","Could be forming handle w/28.53 buy pt in 4-mos base.","28.53","closed","99360.00","on","42.26","correction","trailstop"
"3/23/2009 12:00:00 AM","NTES","24.07","22.98","266568.00","uptrend","11600","10/12/2009 12:00:00 AM","36.99","429084.00","Clears left side buy point of 23.02, then recants.","23.02","closed","162516.00","on","46.24","pressure","trailstop"
"4/8/2009 12:00:00 AM","JOSB","34.95","23.28","265392.00","uptrend","11400","6/17/2009 12:00:00 AM","21.18","241452.00","Nears 31.51 buy point on patchy vol. following four-week leap.","31.51","closed","-23940.00","off","0","uptrend","loss"
"4/14/2009 12:00:00 AM","OTEX","35.85","17.59","265609.00","uptrend","15100","4/29/2009 12:00:00 AM","16.01","241751.00","Passes buy point for handle in cup base with 35.24 buy point.","35.24","closed","-23858.00","off","0","uptrend","loss"
"4/22/2009 12:00:00 AM","BWLD","42.07","42.07","265041.00","uptrend","6300","5/1/2009 12:00:00 AM","38.28","241164.00","Forming handle with 38.95 buy point; 16% below its high.","38.95","closed","-23877.00","off","0","uptrend","loss"
"4/29/2009 12:00:00 AM","CFL","26.42","26.34","266034.00","uptrend","10100","5/13/2010 12:00:00 AM","42.68","431068.00","7% past 25.82 buy point after breakout from cup w/handle.","25.82","open","165034.00","on","43.79","uptrend",""
"5/8/2009 12:00:00 AM","RKT","38.14","35.86","265364.00","uptrend","7400","1/27/2010 12:00:00 AM","40.16","297184.00","4% past 36.99 buy pt in 7-month double-bottom base.","36.99","closed","31820.00","on","50.2","correction","trailstop"
"6/16/2009 12:00:00 AM","HMSY","38.51","12.83","265581.00","uptrend","20700","8/17/2009 12:00:00 AM","11.68","241776.00","Cup-with-high handle may be base on base; 38.38 buy pt.","38.38","closed","-23805.00","off","0","uptrend","loss"
"6/24/2009 12:00:00 AM","HWKN","21.86","19.75","266625.00","uptrend","13500","7/21/2009 12:00:00 AM","17.97","242595.00","Clears 21.63 buy point in solid vol from bounce off 10-week.","21.63","closed","-24030.00","off","0","uptrend","loss"
"6/25/2009 12:00:00 AM","TIS","19.28","16.47","265167.00","uptrend","16100","10/13/2009 12:00:00 AM","14.99","241339.00","Big volume, late-day rally launches it past 18.25 buy point.","18.25","closed","-23828.00","off","0","pressure","loss"
"7/16/2009 12:00:00 AM","CTRN","29.1","29.03","264173.00","uptrend","9100","8/19/2009 12:00:00 AM","26.42","240422.00","Forming new base w/possible 27.74 buy pt, 10-wk support.","27.74","closed","-23751.00","off","0","correction","loss"
"7/20/2009 12:00:00 AM","GMCR","66.98","22.17","266040.00","uptrend","12000","7/30/2009 12:00:00 AM","20.17","242040.00","Forming base with poss. 62.03 buy pt. Too deep for flat base.","62.03","closed","-24000.00","off","0","uptrend","loss"
"7/20/2009 12:00:00 AM","FFIV","37.04","37.04","262984.00","uptrend","7100","8/27/2009 12:00:00 AM","33.71","239341.00","Just below 36.38 buy point in a shallow consolidation.","36.38","closed","-23643.00","off","0","uptrend","loss"
"7/23/2009 12:00:00 AM","CMG","91.71","91.71","265959.00","uptrend","2900","8/17/2009 12:00:00 AM","83.46","242034.00","Long handle becomes flat base with 89.65 buy point.","89.65","closed","-23925.00","off","0","uptrend","loss"
"7/23/2009 12:00:00 AM","WMS","36.6","36.58","263376.00","uptrend","7200","10/30/2009 12:00:00 AM","40.05","288360.00","Shaping a base with a possible buy point at 35.60.","35.6","closed","24984.00","on","50.06","correction","trailstop"
"8/4/2009 12:00:00 AM","HGG","19.53","19.49","265064.00","uptrend","13600","8/17/2009 12:00:00 AM","17.74","241264.00","Having trouble clearing base with 19.20 buy point.","19.2","closed","-23800.00","off","0","uptrend","loss"
"8/6/2009 12:00:00 AM","CPA","43.27","38.32","264408.00","uptrend","6900","8/17/2009 12:00:00 AM","34.87","240603.00","Slips below 42.27 buy point, but volume is low.","42.27","closed","-23805.00","off","0","uptrend","loss"
"8/10/2009 12:00:00 AM","JST","35.68","16.51","265811.00","uptrend","16100","8/14/2009 12:00:00 AM","15.02","241822.00","Falls back below 33.09 buy pt after cup w/handle breakout.","33.09","closed","-23989.00","off","0","uptrend","loss"
"8/14/2009 12:00:00 AM","VIT","16.25","16.25","266500.00","uptrend","16400","8/17/2009 12:00:00 AM","14.79","242556.00","Below 15.60 buy pt from pullback; weekly downside reversal.","15.6","closed","-23944.00","off","0","uptrend","loss"
"9/2/2009 12:00:00 AM","ATNI","45.72","41.01","266565.00","pressure","6500","2/3/2010 12:00:00 AM","42.31","275015.00","3% extended past 45.57 buy point from 10-week bounce.","45.57","closed","8450.00","on","52.89","correction","trailstop"
"9/15/2009 12:00:00 AM","ATW","33.67","33.61","265519.00","uptrend","7900","5/6/2010 12:00:00 AM","30.59","241661.00","Just above 32.09 buy pt after high-volume surge off 10-wk.","32.09","closed","-23858.00","off","0","correction","loss"
"10/19/2009 12:00:00 AM","TSRA","30.2","27.82","264290.00","uptrend","9500","10/27/2009 12:00:00 AM","25.32","240540.00","Easing, now 2% past 29.35 buy point in cup-with-handle.","29.35","closed","-23750.00","off","0","pressure","loss"
"12/2/2009 12:00:00 AM","SIRO","31.75","31.75","263525.00","uptrend","8300","5/20/2010 12:00:00 AM","34.76","288508.00","Shapes high handle with 31.10 buy pt. on cup base.","31.1","closed","24983.00","on","43.45","correction","trailstop"
"12/3/2009 12:00:00 AM","MED","29.63","29.65","263885.00","pressure","8900","1/11/2010 12:00:00 AM","26.98","240122.00","Shaped three-weeks-tight pattern with 28.77 buy point.","28.77","closed","-23763.00","off","0","uptrend","loss"
"3/5/2010 12:00:00 AM","PCLN","235.31","235.34","258874.00","uptrend","1100","5/6/2010 12:00:00 AM","214.16","235576.00","Falls 3% below 231.59 buy point. Broke out Feb. 18.","231.59","closed","-23298.00","off","0","correction","loss"
"3/8/2010 12:00:00 AM","BCSI","31.95","31.95","265185.00","uptrend","8300","5/5/2010 12:00:00 AM","29.07","241281.00","Just below 31.15 buy point in eight week cup.","31.15","closed","-23904.00","off","0","correction","loss"
"3/10/2010 12:00:00 AM","VRX","39.45","14.73","266613.00","uptrend","18100","6/8/2010 12:00:00 AM","13.40","242540.00","2% past 37.67 buy point from 3-weeks-tight pattern.","37.67","closed","-24073.00","off","0","pressure","loss"
"3/23/2010 12:00:00 AM","BUCY","69.07","69","262200.00","uptrend","3800","4/30/2010 12:00:00 AM","62.79","238602.00","Cup with handle appears with buy point at 67.77.","67.77","closed","-23598.00","off","0","pressure","loss"
"3/25/2010 12:00:00 AM","GES","47.41","38.71","263228.00","uptrend","6800","5/5/2010 12:00:00 AM","35.23","239564.00","Just 1% past 46.49 buy point from cup base.","46.49","closed","-23664.00","off","0","correction","loss"
