"Date","Open","High","Low","Close","Volume","Adj Close"
"09/15/2008","121.63","125.65","119.89","120.09","483607000","105.66"
"09/16/2008","117.20","122.32","117.00","122.10","581744300","107.42"
"09/17/2008","119.64","121.85","116.00","116.61","624095600","102.59"
"09/18/2008","118.05","121.79","113.80","120.07","776114700","105.64"
"09/19/2008","126.70","128.00","123.33","124.12","501087800","109.83"
"09/22/2008","124.45","124.75","120.36","121.31","249966500","107.35"
"09/23/2008","120.85","122.02","118.28","118.55","327470400","104.90"
"09/24/2008","119.35","120.00","117.79","118.93","311818400","105.24"
"09/25/2008","119.40","121.91","118.44","120.79","328253000","106.89"
"09/26/2008","118.83","121.50","118.51","120.85","285917400","106.94"
"09/29/2008","119.14","119.34","110.97","111.38","459562300","98.56"
"09/30/2008","113.51","116.80","110.53","115.99","328154400","102.64"
"10/01/2008","115.27","116.69","113.95","116.06","332783000","102.70"
"10/02/2008","114.95","115.11","111.06","111.85","365337800","98.98"
"10/03/2008","112.86","115.45","109.68","110.34","461798000","97.64"
"10/06/2008","107.15","107.62","100.64","104.72","610637500","92.67"
"10/07/2008","106.84","107.33","99.65","100.03","540012100","88.52"
"10/08/2008","97.52","102.18","96.81","97.51","725414800","86.29"
"10/09/2008","99.66","100.62","90.25","90.70","534485200","80.26"
"10/10/2008","86.76","93.94","83.58","88.50","871026300","78.31"
"10/13/2008","93.87","101.35","89.95","101.35","455584000","89.68"
"10/14/2008","104.70","105.53","97.11","99.85","546268300","88.36"
"10/15/2008","97.46","97.80","89.71","90.02","484627500","79.66"
"10/16/2008","91.29","94.77","86.54","93.77","708811200","82.98"
"10/17/2008","91.99","98.59","91.65","93.21","476649000","82.48"
"10/20/2008","95.35","99.10","94.09","98.81","321294200","87.44"
"10/21/2008","96.97","98.64","95.22","95.86","356502000","84.83"
"10/22/2008","93.20","95.86","87.53","90.64","516168000","80.21"
"10/23/2008","90.29","92.45","85.81","91.69","634666400","81.14"
"10/24/2008","84.06","89.92","84.00","87.04","545812600","77.02"
