"Symbol","Date","Buytext","Buypoint","Buypeak","Open","High","Low","Close","Volume","50dayVol"
"AAP","01/06/2012","Backunder 71.10buy pointafterpoking aboveinlow volume.","71.1","74.655","71.29","72.059","70.8","71.52","1332116","804473"
"AAPL","01/25/2012","Justunder 427.85cup with handlebuy point;had longrun.","427.85","449.2425","454.26","454.45","443.73","446.58","32788931","11904610"
"ABV","01/11/2011","4% past 29.17 flat-base buy point; splits shares 5-for-1.","29.17","30.6285","30.1","30.39","29.89","30.2","3183971","885430"
"ACT","07/29/2013","Slightlybelow flatbasebuy pointof 133.10.","133.1","139.755","133.99","135.99","133.11","134.52","2431418","1452921"
"ACT","06/18/2014","Formslate-stage, cup-with-handlebase with216.80 buy pt.","216.8","227.640","216.06","220.99","214.79","217","2928729","1811564"
"ACT","06/20/2014","Formslate-stage, cup-with-handlebase with216.80 buy pt.","216.8","227.640","215.88","218.8","214.82","216.89","3294304","1734296"
"ACT","06/24/2014","Justabove216.80 buy pointof cup-with-handle.","216.8","227.640","221.62","224.95","221.17","224.21","3123379","1715065"
"ADVS","09/20/2013","Formingflatbase with31.32buy point.","31.32","32.8860","31.93","32.27","31.73","32.06","918261","448933"
"AGP","07/06/2011","Volumekicks inafterstock clears 71.81buypoint.","71.81","75.4005","73.57","75.74","73.3","74.83","1659565","962300"
"AIRM","01/09/2013","Retreatsafterclearing38.89cup buy point.","38.89","40.8345","38.88","41.33","38.845","40.61","706713","132985"
"AIXG","04/05/2010","Breaking out of cup with handle with buy point at 36.65.","36.65","38.4825","37.28","38.96","37.12","38.35","998681","401377"
"AL","06/05/2014","2%past40.463-weeks-tight follow-on entry.","40.463","42.48615","41.46","42.794","41.26","42.38","1316965","740182"
"ALGN","06/19/2012","7thweek of awkward base; buypointsat 33and 34.39.","34.39","36.1095","33.89","35.15","33.82","34.73","2218211","978576"
"ALGN","01/06/2014","Buypointat 58.60from resistanceareawithin base.","58.6","61.530","57.65","61.09","57.5","59.91","2064732","789948"
"ALGN","01/07/2014","Buypointat 58.60from resistanceareawithin base.","58.6","61.530","60.67","62.44","60.5","61.36","1965170","802956"
"ALK","01/03/2013","Backsoff, now1% under 43.17three-weeks-tightentry.","43.17","45.3285","44.03","44.82","43.323","44.76","1195477","719910"
