Symbol,Company Name,IBD 50 Rank
BITA,Bitauto Hldgs Ltd Ads,1
THRM,Gentherm Inc,2
CAR,Avis Budget Group Inc,3
FB,Facebook Inc Cl A,4
ACT,Actavis plc,5
SN,Sanchez Energy Corp,6
TRN,Trinity Industries Inc,7
SLXP,Salix Pharmaceuticals,8
LAD,Lithia Motors Inc Cl A,9
SWKS,Skyworks Solutions Inc,10
KS,Kapstone Paper&Packaging,11
UBNT,Ubiquiti Networks Inc,12
SAVE,Spirit Airlines Inc,13
ALXN,Alexion Pharmaceuticals,14
EPAM,Epam Systems Inc,15
CLR,Continental Res Inc,16
AKRX,Akorn Inc,17
BWLD,Buffalo Wild Wings Inc,18
FLT,Fleetcor Technologies,19
HOLI,Hollysys Automation Tech,20
STZ,Constellation Brands A,21
GRFS,Grifols Sa Ads,22
JAZZ,Jazz Pharmaceuticals Plc,23
EOG,E O G Resources Inc,24
ARRS,Arris Group Inc,25
EQM,E Q T Midstream Partners,26
QIHU,Qihoo 360 Technology Ads,27
AFOP,Alliance Fiber Optic,28
MANH,Manhattan Associates Inc,29
CBG,C B R E Group Inc,30
FANG,Diamondback Energy Inc,31
QIWI,QIWI Plc Cl B Ads,32
SBNY,Signature Bank,33
AL,Air Lease Corp Cl A,34
FL,Foot Locker Inc,35
ODFL,Old Dominion Fght Lines,36
ILMN,Illumina Inc,37
VIPS,Vipshop Holdings Ltd Ads,38
VRX,Valeant Pharmaceuticals,39
BIIB,Biogen Idec Inc,40
CELG,Celgene Corp,41
GILD,Gilead Sciences Inc,42
YY,YY Inc Ads,43
EMES,Emerge Energy Svcs LP,44
PKG,Packaging Cp Of America,45
WAB,Wabtec,46
FFIV,F 5 Networks Inc,47
AFSI,Amtrust Financial Svcs,48
ADS,Alliance Data Sys Corp,49
AMBA,Ambarella Inc,50
