Date/Time,Open,High,Low,Close,Volume,Count,WAP,HasGaps
20160909  09:30:00,2157.25,2158,2155.5,2156,71545,7487,2156.6,0
20160909  09:35:00,2156,2156.5,2154.5,2155,38523,4796,2155.375,0
20160909  09:40:00,2154.75,2156.5,2154,2155.75,38109,4458,2155.15,0
20160909  09:45:00,2155.75,2157,2154.75,2155,39130,3895,2156.1,0
20160909  09:50:00,2155,2156,2152.75,2153.25,32688,3989,2154.375,0
20160909  09:55:00,2153.25,2153.25,2150.5,2152.75,39799,3952,2151.575,0
20160909  10:00:00,2152.75,2152.75,2150.75,2151.75,33878,3803,2151.8,0
20160909  10:05:00,2151.5,2151.75,2149.5,2150,17584,2619,2150.525,0
20160909  10:10:00,2150,2152.5,2149,2152.5,38335,3668,2150.7,0
20160909  10:15:00,2152.5,2154,2151.5,2152,34118,3336,2153.075,0
20160909  10:20:00,2152,2152.25,2150.75,2151.25,23251,2593,2151.4,0
20160909  10:25:00,2151.25,2153.25,2150.25,2151,18541,1993,2151.75,0
20160909  10:30:00,2151,2151.5,2149.25,2150.75,21046,2035,2150.375,0
20160909  10:35:00,2150.75,2151.5,2145.25,2147,42498,4467,2147.925,0
20160909  10:40:00,2146.75,2148,2146.5,2148,18482,1892,2147.425,0
20160909  10:45:00,2148,2148,2144.75,2146,24339,2712,2146.45,0
20160909  10:50:00,2146,2147.5,2145.75,2147.5,16108,1829,2146.9,0
20160909  10:55:00,2147.25,2149.25,2146.75,2148.75,22601,2544,2148.025,0
20160909  11:00:00,2148.75,2149.5,2147.5,2148,16344,1799,2148.35,0
20160909  11:05:00,2148,2149.25,2146.75,2148.75,15369,1636,2148.175,0
20160909  11:10:00,2148.75,2149,2146.5,2146.75,18542,1875,2147.575,0
20160909  11:15:00,2147,2148,2146,2147.5,27942,2280,2146.775,0
20160909  11:20:00,2147.5,2148.5,2146.5,2147.5,15378,1694,2147.625,0
20160909  11:25:00,2147.5,2149.25,2147,2149,14866,1541,2148.425,0
20160909  11:30:00,2149,2149.5,2148,2148,12524,1442,2148.95,0
20160909  11:35:00,2148,2148.75,2146.75,2147.5,7432,999,2147.675,0
20160909  11:40:00,2147.5,2148,2145.5,2146,9057,1142,2146.5,0
20160909  11:45:00,2146,2146.5,2144.5,2146,14040,1691,2145.55,0
20160909  11:50:00,2146,2146.5,2144.75,2144.75,9686,1259,2145.45,0
20160909  11:55:00,2145,2145,2142.5,2143.75,19614,2393,2143.7,0
20160909  12:00:00,2143.75,2145.25,2143.25,2144.5,9818,1239,2144.375,0
20160909  12:05:00,2144.5,2144.75,2142,2143.5,19628,2067,2143.275,0
20160909  12:10:00,2143.5,2143.75,2142,2142.5,11100,1269,2142.925,0
20160909  12:15:00,2142.5,2143.25,2140.25,2140.75,20921,2221,2141.325,0
20160909  12:20:00,2140.75,2143,2140.25,2142.25,23161,2118,2142.075,0
20160909  12:25:00,2142.25,2142.75,2141.5,2142,7770,1034,2142.075,0
20160909  12:30:00,2141.75,2142,2140.5,2141,9648,1097,2141.375,0
20160909  12:35:00,2141.25,2142,2140.5,2140.75,10016,1113,2141.575,0
20160909  12:40:00,2140.75,2141.5,2140.25,2141.25,10072,1261,2140.875,0
20160909  12:45:00,2141.25,2142.25,2140.75,2141.25,11564,1624,2141.575,0
