Date,Time,Open,High,Low,Close,Volume,Count,WAP,HasGaps
6/12/2017,9:30:00,2424.25,2426.5,2423,2426.5,49401,6341,2424.85,0
6/12/2017,9:35:00,2426.25,2427.5,2423,2423,50081,6603,2425.75,0
6/12/2017,9:40:00,2423,2424,2420.5,2422.5,61163,7815,2422.15,0
6/12/2017,9:45:00,2422.5,2424.5,2421,2421.25,42447,5622,2422.75,0
6/12/2017,9:50:00,2421.25,2421.5,2417.75,2419,44267,5664,2419.375,0
6/12/2017,9:55:00,2418.75,2420.25,2418.5,2419.25,27413,3863,2419.15,0
6/12/2017,10:00:00,2419.5,2420,2416.75,2420,44451,4899,2418.625,0
6/12/2017,10:05:00,2420,2421,2418.5,2418.75,34798,3854,2419.85,0
6/12/2017,10:10:00,2418.75,2421.5,2418.75,2420.5,27105,3358,2420.575,0
6/12/2017,10:15:00,2420.5,2423,2419.25,2423,27404,3078,2421.15,0
6/12/2017,10:20:00,2422.75,2423.5,2421.5,2423.5,23057,2637,2422.5,0
6/12/2017,10:25:00,2423.25,2423.5,2421.25,2421.5,19992,2480,2422.3,0
6/12/2017,10:30:00,2421.5,2421.75,2419,2419.75,25119,2957,2420.55,0
6/12/2017,10:35:00,2419.5,2421.25,2419.5,2421,20493,2539,2420.5,0
6/12/2017,10:40:00,2421,2423.5,2420.25,2423,27428,2933,2422.4,0
6/12/2017,10:45:00,2422.75,2424,2421.75,2422.5,19369,2128,2422.85,0
6/12/2017,10:50:00,2422.5,2424.75,2422,2424.5,19534,2342,2423.5,0
6/12/2017,10:55:00,2424.5,2424.75,2422.25,2424,16372,1985,2423.325,0
6/12/2017,11:00:00,2424.25,2425.25,2423.75,2425,11331,1407,2424.6,0
6/12/2017,11:05:00,2424.75,2425,2423.25,2423.5,7644,1182,2423.85,0
6/12/2017,11:10:00,2423.5,2425.5,2423.25,2425,15200,1599,2424.775,0
6/12/2017,11:15:00,2425,2426,2424.25,2425,19021,2148,2425.175,0
6/12/2017,11:20:00,2425,2425.25,2423.5,2424,11115,1816,2424.05,0
6/12/2017,11:25:00,2423.75,2425.25,2423.5,2424,10843,1627,2424.25,0
6/12/2017,11:30:00,2424,2425.5,2423.25,2424,12293,1862,2424.25,0
6/12/2017,11:35:00,2424.25,2424.25,2422.25,2423,13484,1870,2423.4,0
6/12/2017,11:40:00,2422.75,2423.5,2422,2422.5,13415,1716,2422.675,0
6/12/2017,11:45:00,2422.5,2423.75,2422.25,2422.5,12499,1613,2422.925,0
6/12/2017,11:50:00,2422.25,2422.75,2421.25,2422,13389,1643,2421.85,0
6/12/2017,11:55:00,2422,2423,2421.25,2422.75,11302,1169,2422.175,0
6/12/2017,12:00:00,2422.75,2423.25,2421,2421.25,11290,1504,2422.175,0
6/12/2017,12:05:00,2421.25,2421.5,2420.25,2420.5,8631,1076,2420.75,0
6/12/2017,12:10:00,2420.5,2422.25,2420.25,2421.5,8300,911,2421.45,0
6/12/2017,12:15:00,2421.5,2422.5,2420.75,2422.5,7999,927,2421.6,0
6/12/2017,12:20:00,2422.5,2423,2419.75,2420.25,8943,1279,2421.65,0
6/12/2017,12:25:00,2420.25,2420.75,2419.5,2420.25,9045,1215,2420.175,0
6/12/2017,12:30:00,2420.25,2421.75,2420.25,2421.75,6773,1041,2421.025,0
6/12/2017,12:35:00,2421.5,2421.75,2420.75,2421.5,5659,724,2421.3,0
6/12/2017,12:40:00,2421.5,2422,2420,2420.75,3896,662,2421.05,0
6/12/2017,12:45:00,2420.5,2420.75,2419.5,2420,6571,794,2420,0
6/12/2017,12:50:00,2419.75,2420,2419.25,2419.5,8570,1138,2419.675,0
6/12/2017,12:55:00,2419.5,2419.75,2418,2418.25,8919,1108,2418.9,0
6/12/2017,13:00:00,2418.25,2419.25,2417.75,2419.25,7775,879,2418.475,0
6/12/2017,13:05:00,2419.25,2420,2418.75,2419.75,7107,710,2419.275,0
6/12/2017,13:10:00,2419.5,2421,2419,2421,9773,1237,2419.85,0
6/12/2017,13:15:00,2421,2421.5,2420.75,2421,7798,751,2421.025,0
6/12/2017,13:20:00,2421,2422,2421,2421.5,4896,640,2421.45,0
6/12/2017,13:25:00,2421.5,2422,2421.25,2422,6377,569,2421.6,0
6/12/2017,13:30:00,2421.75,2422.75,2421.75,2421.75,8986,904,2422.075,0
6/12/2017,13:35:00,2421.75,2421.75,2420.5,2420.75,5399,631,2421.025,0
6/12/2017,13:40:00,2420.5,2421.5,2420.5,2420.75,4359,582,2421.025,0
6/12/2017,13:45:00,2420.5,2421.5,2420.25,2420.75,4079,631,2420.825,0
6/12/2017,13:50:00,2420.75,2421,2420,2420.25,5217,472,2420.5,0
6/12/2017,13:55:00,2420,2420.25,2418.25,2418.5,8077,917,2419.075,0
6/12/2017,14:00:00,2418.5,2420,2418.25,2419.75,6588,1049,2419.1,0
6/12/2017,14:05:00,2419.5,2420.75,2419.25,2420.25,5072,608,2419.975,0
6/12/2017,14:10:00,2420,2421.75,2419.75,2421.25,8078,936,2421.025,0
6/12/2017,14:15:00,2421,2422,2420.75,2420.75,6033,773,2421.4,0
6/12/2017,14:20:00,2420.75,2421.75,2420,2420,6346,716,2420.825,0
6/12/2017,14:25:00,2420,2420.5,2419.75,2420.25,5031,757,2420.125,0
6/12/2017,14:30:00,2420.5,2422.5,2419.75,2422.25,9381,1253,2421.25,0
6/12/2017,14:35:00,2422,2423,2422,2423,5248,630,2422.625,0
6/12/2017,14:40:00,2422.75,2423.75,2422.5,2423.75,7908,957,2423.15,0
6/12/2017,14:45:00,2423.5,2424,2422.25,2423,7920,939,2423.225,0
6/12/2017,14:50:00,2423,2423.5,2422.25,2422.25,6864,852,2422.925,0
6/12/2017,14:55:00,2422.25,2423,2422.25,2422.75,5489,644,2422.675,0
6/12/2017,15:00:00,2423,2423.25,2421.75,2422.5,7658,908,2422.475,0
6/12/2017,15:05:00,2422.5,2424.25,2422.25,2424,10881,1004,2423.7,0
6/12/2017,15:10:00,2424,2424.25,2423.25,2424.25,4976,639,2423.875,0
6/12/2017,15:15:00,2424,2424.5,2423.5,2423.75,6323,847,2424.175,0
6/12/2017,15:20:00,2424,2424.75,2423.5,2423.75,6917,775,2424.225,0
6/12/2017,15:25:00,2423.75,2423.75,2421.25,2422,9765,1097,2422.55,0
6/12/2017,15:30:00,2422,2422.75,2421.25,2422.75,6938,815,2422.125,0
6/12/2017,15:35:00,2422.5,2424.25,2422.5,2423.5,10122,1244,2423.625,0
6/12/2017,15:40:00,2423.5,2423.75,2422,2422.5,5300,763,2422.525,0
6/12/2017,15:45:00,2422.5,2424.25,2422,2422.25,16925,1418,2423.125,0
