#TYPE System.Management.Automation.PSCustomObject
"HighLow","Date","Price"
"Low","3/27/2017 9:30:00 AM","2318.25"
"High","3/27/2017 9:34:00 AM","2324"
"Low","3/27/2017 9:39:00 AM","2318"
"High","3/27/2017 1:04:00 PM","2340.5"
"Low","3/27/2017 2:21:00 PM","2332.5"
"Low","3/28/2017 9:30:00 AM","2334.5"
"High","3/28/2017 9:42:00 AM","2339.75"
"Low","3/28/2017 9:51:00 AM","2333.5"
"High","3/28/2017 10:06:00 AM","2342.5"
"Low","3/28/2017 10:22:00 AM","2335.75"
"High","3/28/2017 2:28:00 PM","2359.75"
"High","3/28/2017 4:13:00 PM","2353"
"Low","3/29/2017 9:50:00 AM","2348.75"
"High","3/29/2017 10:53:00 AM","2358.75"
"Low","3/29/2017 11:40:00 AM","2351.75"
"Low","3/30/2017 9:36:00 AM","2354"
"High","3/30/2017 11:01:00 AM","2366.75"
"Low","3/30/2017 12:40:00 PM","2359"
"Low","3/31/2017 9:32:00 AM","2358.5"
"High","3/31/2017 1:30:00 PM","2366.75"
"Low","3/31/2017 2:13:00 PM","2359.5"
"High","3/31/2017 3:34:00 PM","2366.25"
"High","4/3/2017 9:43:00 AM","2361.75"
"Low","4/3/2017 10:13:00 AM","2353"
"High","4/3/2017 10:31:00 AM","2358"
"Low","4/3/2017 12:03:00 PM","2340"
"High","4/3/2017 1:18:00 PM","2350.75"
"Low","4/3/2017 1:45:00 PM","2345.5"
"High","4/3/2017 4:02:00 PM","2357.25"
"Low","4/4/2017 9:39:00 AM","2349.5"
"High","4/4/2017 9:44:00 AM","2354.5"
"Low","4/4/2017 10:10:00 AM","2347.25"
"High","4/4/2017 11:49:00 AM","2356.25"
"Low","4/4/2017 1:00:00 PM","2350.5"
"High","4/4/2017 4:05:00 PM","2358.5"
"Low","4/5/2017 9:33:00 AM","2362.5"
"High","4/5/2017 10:21:00 AM","2375"
"Low","4/5/2017 11:30:00 AM","2365"
"High","4/5/2017 1:36:00 PM","2374.75"
"Low","4/5/2017 3:34:00 PM","2346.25"
"High","4/5/2017 3:45:00 PM","2352.5"
"Low","4/5/2017 3:50:00 PM","2347.5"
"High","4/5/2017 3:54:00 PM","2353.5"
"Low","4/6/2017 9:34:00 AM","2347"
"High","4/6/2017 9:42:00 AM","2353"
"Low","4/6/2017 9:47:00 AM","2345"
"High","4/6/2017 10:00:00 AM","2354.75"
"Low","4/6/2017 10:19:00 AM","2349.75"
"High","4/6/2017 10:38:00 AM","2356"
"Low","4/6/2017 10:41:00 AM","2350"
"High","4/6/2017 11:22:00 AM","2357.75"
"Low","4/6/2017 12:44:00 PM","2352.75"
"High","4/6/2017 1:35:00 PM","2361.25"
"Low","4/6/2017 2:58:00 PM","2349.5"
"Low","4/7/2017 9:34:00 AM","2350"
"High","4/7/2017 9:38:00 AM","2357.75"
"Low","4/7/2017 10:00:00 AM","2347"
"High","4/7/2017 10:39:00 AM","2356.25"
"Low","4/7/2017 11:10:00 AM","2349.75"
"High","4/7/2017 1:30:00 PM","2360.75"
"Low","4/10/2017 9:30:00 AM","2353.25"
"High","4/10/2017 10:36:00 AM","2363"
"Low","4/10/2017 12:14:00 PM","2347.5"
"High","4/10/2017 1:37:00 PM","2360"
"Low","4/11/2017 9:30:00 AM","2346.75"
"High","4/11/2017 9:35:00 AM","2351.75"
"Low","4/11/2017 9:51:00 AM","2341.25"
"High","4/11/2017 10:04:00 AM","2347.25"
"Low","4/11/2017 10:55:00 AM","2335"
"High","4/11/2017 11:06:00 AM","2340"
"Low","4/11/2017 11:28:00 AM","2334.75"
"High","4/11/2017 1:06:00 PM","2349.5"
"Low","4/11/2017 2:13:00 PM","2343.5"
"High","4/11/2017 2:55:00 PM","2350.25"
"Low","4/11/2017 3:17:00 PM","2342.25"
"Low","4/12/2017 9:35:00 AM","2343.5"
"High","4/12/2017 10:19:00 AM","2349.25"
"Low","4/12/2017 11:51:00 AM","2337.5"
"High","4/12/2017 2:00:00 PM","2346.75"
"Low","4/12/2017 3:20:00 PM","2338.5"
"Low","4/13/2017 9:33:00 AM","2334"
"High","4/13/2017 11:03:00 AM","2344.75"
"Low","4/13/2017 1:47:00 PM","2330.25"
"High","4/13/2017 2:27:00 PM","2336.25"
"Low","4/13/2017 3:42:00 PM","2326"
"High","4/13/2017 3:49:00 PM","2331.75"
"Low","4/13/2017 4:09:00 PM","2324"
"Low","4/17/2017 9:44:00 AM","2328.75"
"Low","4/18/2017 9:32:00 AM","2335"
"High","4/18/2017 10:00:00 AM","2344.5"
"Low","4/18/2017 12:01:00 PM","2330.25"
"High","4/18/2017 3:42:00 PM","2341"
"Low","4/19/2017 9:46:00 AM","2344.25"
"High","4/19/2017 9:59:00 AM","2349.25"
"High","4/20/2017 9:31:00 AM","2342.75"
"Low","4/20/2017 9:56:00 AM","2337.75"
"High","4/20/2017 1:56:00 PM","2358.25"
"High","4/20/2017 4:09:00 PM","2352.75"
"High","4/21/2017 9:30:00 AM","2353"
"Low","4/21/2017 11:15:00 AM","2345.25"
"High","4/21/2017 11:58:00 AM","2350.75"
"Low","4/21/2017 1:11:00 PM","2340.5"
"High","4/21/2017 2:40:00 PM","2349.5"
"High","4/24/2017 9:30:00 AM","2372.5"
"Low","4/24/2017 11:26:00 AM","2365.75"
"High","4/24/2017 3:14:00 PM","2374"
"Low","4/24/2017 4:09:00 PM","2368.25"
"Low","4/25/2017 9:31:00 AM","2377.5"
"High","4/25/2017 3:21:00 PM","2389.25"
"Low","4/25/2017 4:09:00 PM","2383.25"
"Low","4/26/2017 9:30:00 AM","2384.25"
"High","4/26/2017 11:28:00 AM","2394.75"
"Low","4/26/2017 11:50:00 AM","2386.25"
"High","4/26/2017 1:45:00 PM","2394.25"
"Low","4/26/2017 2:01:00 PM","2387"
"High","4/26/2017 3:12:00 PM","2392"
"High","4/27/2017 10:14:00 AM","2387.5"
"Low","4/27/2017 11:51:00 AM","2378.75"
"High","4/27/2017 1:00:00 PM","2388.75"
"High","4/28/2017 9:30:00 AM","2388.25"
"High","5/1/2017 9:30:00 AM","2386.25"
"Low","5/1/2017 10:10:00 AM","2380.75"
"High","5/1/2017 10:59:00 AM","2387.5"
"Low","5/1/2017 12:51:00 PM","2381.25"
"High","5/1/2017 2:01:00 PM","2390.75"
"High","5/1/2017 2:03:00 PM","2390.25"
"High","5/2/2017 9:30:00 AM","2388.75"
"Low","5/2/2017 10:00:00 AM","2381.75"
"High","5/2/2017 12:42:00 PM","2388"
"High","5/3/2017 9:47:00 AM","2383.5"
"Low","5/3/2017 10:52:00 AM","2375.5"
"High","5/3/2017 2:07:00 PM","2384"
"Low","5/3/2017 2:19:00 PM","2379"
"High","5/4/2017 9:32:00 AM","2387.75"
"Low","5/4/2017 9:55:00 AM","2381.25"
"High","5/4/2017 10:27:00 AM","2386.75"
"Low","5/4/2017 12:19:00 PM","2376"
"High","5/4/2017 2:17:00 PM","2385.75"
"Low","5/4/2017 2:20:00 PM","2380.25"
"High","5/5/2017 9:30:00 AM","2391.5"
"Low","5/5/2017 10:35:00 AM","2385"
"High","5/8/2017 9:35:00 AM","2397.75"
"Low","5/8/2017 11:22:00 AM","2389.75"
"High","5/9/2017 10:02:00 AM","2400"
"Low","5/9/2017 3:43:00 PM","2388.75"
"Low","5/10/2017 10:29:00 AM","2389.25"
"High","5/10/2017 4:00:00 PM","2397"
"High","5/11/2017 9:35:00 AM","2392.25"
"Low","5/11/2017 10:24:00 AM","2379"
"High","5/12/2017 9:46:00 AM","2389.75"
"Low","5/12/2017 10:54:00 AM","2384.25"
"High","5/12/2017 4:04:00 PM","2390"
"Low","5/15/2017 9:30:00 AM","2392.25"
"High","5/15/2017 11:10:00 AM","2402.25"
"High","5/16/2017 9:30:00 AM","2404.5"
"Low","5/16/2017 10:44:00 AM","2393.75"
"Low","5/17/2017 9:30:00 AM","2377.25"
"High","5/17/2017 9:35:00 AM","2383.75"
"Low","5/17/2017 11:05:00 AM","2366.25"
"High","5/17/2017 11:41:00 AM","2374.75"
"Low","5/17/2017 2:48:00 PM","2357.75"
"High","5/17/2017 3:23:00 PM","2366.5"
"Low","5/17/2017 3:59:00 PM","2354.75"
"Low","5/18/2017 9:32:00 AM","2351.5"
"High","5/18/2017 9:38:00 AM","2358.75"
"Low","5/18/2017 9:57:00 AM","2352.75"
"High","5/18/2017 10:35:00 AM","2367.5"
"Low","5/18/2017 12:04:00 PM","2356.75"
"High","5/18/2017 12:33:00 PM","2364"
"Low","5/18/2017 1:09:00 PM","2358"
"High","5/18/2017 2:32:00 PM","2375"
"Low","5/18/2017 3:44:00 PM","2365.5"
"High","5/18/2017 3:50:00 PM","2370.75"
"Low","5/19/2017 9:30:00 AM","2369.75"
"High","5/19/2017 2:40:00 PM","2388"
"Low","5/19/2017 3:32:00 PM","2378"
"Low","5/22/2017 9:30:00 AM","2385.25"
"High","5/22/2017 9:47:00 AM","2390.75"
"Low","5/22/2017 10:49:00 AM","2385"
"High","5/23/2017 9:30:00 AM","2397.25"
"Low","5/23/2017 10:00:00 AM","2392"
"Low","5/24/2017 2:04:00 PM","2396"
"Low","5/25/2017 9:35:00 AM","2406"
"High","5/25/2017 11:10:00 AM","2416.5"
"Low","5/25/2017 12:16:00 PM","2410.25"
"Low","5/30/2017 9:31:00 AM","2408.5"
"High","5/30/2017 9:47:00 AM","2413.5"
"Low","5/30/2017 10:15:00 AM","2408"
"High","5/31/2017 9:30:00 AM","2415.25"
"Low","5/31/2017 10:02:00 AM","2402.75"
"High","5/31/2017 11:01:00 AM","2410.25"
"Low","5/31/2017 2:13:00 PM","2403.75"
"Low","6/1/2017 9:35:00 AM","2412.75"
"High","6/2/2017 9:35:00 AM","2433.25"
"Low","6/2/2017 9:59:00 AM","2427.5"
"Low","6/5/2017 9:40:00 AM","2433.5"
"High","6/5/2017 10:03:00 AM","2439"
"Low","6/6/2017 9:35:00 AM","2427"
"High","6/6/2017 2:35:00 PM","2435.75"
"High","6/7/2017 10:00:00 AM","2434.5"
"Low","6/7/2017 12:51:00 PM","2424"
"High","6/8/2017 9:45:00 AM","2436"
"Low","6/8/2017 9:52:00 AM","2428.75"
"High","6/8/2017 10:07:00 AM","2433.75"
"Low","6/8/2017 10:28:00 AM","2427.25"
"High","6/8/2017 12:21:00 PM","2439"
"Low","6/8/2017 2:55:00 PM","2427.75"
"Low","6/9/2017 9:30:00 AM","2433.5"
"High","6/9/2017 10:31:00 AM","2443.5"
"Low","6/9/2017 2:50:00 PM","2412.5"
"High","6/9/2017 3:03:00 PM","2424"
"Low","6/9/2017 3:06:00 PM","2419"
"High","6/9/2017 3:30:00 PM","2428.25"
"Low","6/9/2017 3:43:00 PM","2421.75"
"High","6/12/2017 9:36:00 AM","2427.5"
"Low","6/12/2017 10:03:00 AM","2416.75"
"High","6/12/2017 11:16:00 AM","2426"
"Low","6/12/2017 1:01:00 PM","2417.75"
"High","6/13/2017 9:45:00 AM","2436"
"Low","6/13/2017 11:00:00 AM","2428.75"
"High","6/14/2017 9:30:00 AM","2442"
"Low","6/14/2017 10:57:00 AM","2432.25"
"High","6/14/2017 2:06:00 PM","2440.75"
"Low","6/14/2017 3:11:00 PM","2425.75"
"Low","6/15/2017 9:30:00 AM","2418.75"
"High","6/15/2017 9:40:00 AM","2424"
"Low","6/15/2017 9:46:00 AM","2418"
"High","6/15/2017 10:03:00 AM","2425"
"Low","6/15/2017 10:26:00 AM","2416.25"
"High","6/15/2017 11:32:00 AM","2428.25"
"Low","6/15/2017 12:25:00 PM","2423.25"
"High","6/15/2017 3:22:00 PM","2431.75"
"Low","6/15/2017 3:42:00 PM","2426.75"
"High","6/16/2017 9:30:00 AM","2432.5"
"Low","6/16/2017 10:55:00 AM","2420.25"
"Low","6/19/2017 9:32:00 AM","2438.5"
"High","6/19/2017 10:31:00 AM","2450"
"Low","6/19/2017 11:26:00 AM","2444.75"
"High","6/19/2017 1:36:00 PM","2450.75"
"Low","6/19/2017 2:51:00 PM","2445.5"
"High","6/20/2017 9:30:00 AM","2446.75"
"Low","6/20/2017 12:29:00 PM","2437.25"
"High","6/20/2017 1:02:00 PM","2442.5"
"Low","6/21/2017 9:53:00 AM","2434.5"
"High","6/21/2017 10:42:00 AM","2440"
"Low","6/21/2017 11:18:00 AM","2430.5"
"High","6/21/2017 11:59:00 AM","2436"
"Low","6/21/2017 1:52:00 PM","2428"
"Low","6/22/2017 9:39:00 AM","2430"
"High","6/22/2017 1:07:00 PM","2439"
"High","6/23/2017 9:30:00 AM","2433.25"
"Low","6/23/2017 9:45:00 AM","2428.25"
"High","6/23/2017 12:33:00 PM","2438.75"
"Low","6/23/2017 3:30:00 PM","2431"
"Low","6/26/2017 9:30:00 AM","2442"
"High","6/26/2017 10:00:00 AM","2447.25"
"Low","6/26/2017 11:05:00 AM","2434"
"High","6/26/2017 12:53:00 PM","2441.5"
"Low","6/27/2017 9:44:00 AM","2429.25"
"High","6/27/2017 11:05:00 AM","2437"
"Low","6/27/2017 2:13:00 PM","2420.5"
"High","6/27/2017 2:34:00 PM","2427.5"
"Low","6/27/2017 3:59:00 PM","2416.5"
"Low","6/28/2017 9:52:00 AM","2425.5"
"High","6/29/2017 9:30:00 AM","2440.5"
"Low","6/29/2017 10:17:00 AM","2427"
"High","6/29/2017 10:48:00 AM","2433.5"
"Low","6/29/2017 11:32:00 AM","2416"
"High","6/29/2017 11:37:00 AM","2422"
"Low","6/29/2017 11:42:00 AM","2417"
"High","6/29/2017 11:46:00 AM","2422"
"Low","6/29/2017 12:01:00 PM","2413.75"
"High","6/29/2017 12:14:00 PM","2420.75"
"Low","6/29/2017 1:29:00 PM","2402.25"
"High","6/29/2017 3:19:00 PM","2421.75"
"Low","6/29/2017 3:28:00 PM","2416"
"High","6/29/2017 3:35:00 PM","2422.5"
"Low","6/29/2017 4:00:00 PM","2416.5"
"High","6/30/2017 9:49:00 AM","2428.25"
"Low","6/30/2017 10:16:00 AM","2418.5"
"High","6/30/2017 3:48:00 PM","2429.75"
"Low","7/3/2017 9:30:00 AM","2431.25"
"High","7/3/2017 10:13:00 AM","2436.5"
"High","7/4/2017 9:55:00 AM","2430.25"
"High","7/5/2017 9:30:00 AM","2429.5"
"Low","7/5/2017 10:17:00 AM","2419.25"
"High","7/5/2017 2:41:00 PM","2432"
"High","7/5/2017 2:43:00 PM","2432"
"High","7/6/2017 9:36:00 AM","2422.25"
"Low","7/6/2017 10:08:00 AM","2410.25"
"High","7/6/2017 1:19:00 PM","2421.5"
"Low","7/7/2017 9:48:00 AM","2412"
"High","7/7/2017 9:58:00 AM","2417.75"
"Low","7/7/2017 10:20:00 AM","2412.5"
"Low","7/10/2017 9:30:00 AM","2419.25"
"High","7/10/2017 3:41:00 PM","2430"
"Low","7/11/2017 9:41:00 AM","2420.5"
"High","7/11/2017 10:37:00 AM","2426"
"Low","7/11/2017 11:26:00 AM","2410.25"
"Low","7/12/2017 9:30:00 AM","2434.75"
"High","7/12/2017 10:28:00 AM","2442.5"
"Low","7/12/2017 12:15:00 PM","2437"
"High","7/13/2017 10:08:00 AM","2445"
"Low","7/13/2017 10:31:00 AM","2439"
"Low","7/14/2017 9:32:00 AM","2444.25"
"High","7/14/2017 3:40:00 PM","2461.25"
"High","7/14/2017 3:59:00 PM","2456.75"
"Low","7/17/2017 9:41:00 AM","2454.25"
"High","7/17/2017 1:13:00 PM","2460.5"
"Low","7/17/2017 3:26:00 PM","2455.25"
"High","7/18/2017 10:11:00 AM","2454.75"
"Low","7/18/2017 10:42:00 AM","2448"
"Low","7/19/2017 9:30:00 AM","2461.25"
"High","7/20/2017 9:33:00 AM","2475.25"
"Low","7/20/2017 10:40:00 AM","2465.5"
"High","7/20/2017 11:05:00 AM","2473.75"
"Low","7/20/2017 11:37:00 AM","2467.75"
"Low","7/21/2017 10:01:00 AM","2462.75"
"High","7/24/2017 9:32:00 AM","2469.5"
"Low","7/24/2017 11:25:00 AM","2464"
"High","7/25/2017 9:30:00 AM","2478.25"
"Low","7/25/2017 10:10:00 AM","2472.5"
"High","7/25/2017 12:05:00 PM","2478.75"
"Low","7/25/2017 4:04:00 PM","2473.25"
"High","7/26/2017 9:30:00 AM","2478.5"
"High","7/27/2017 9:30:00 AM","2480.5"
"Low","7/27/2017 1:39:00 PM","2457"
"High","7/27/2017 2:12:00 PM","2467.5"
"Low","7/27/2017 2:44:00 PM","2460.75"
"High","7/28/2017 9:30:00 AM","2469"
"Low","7/28/2017 10:36:00 AM","2463"
"High","7/31/2017 9:35:00 AM","2475"
"Low","7/31/2017 10:55:00 AM","2465.25"
"High","7/31/2017 3:44:00 PM","2472.25"
"High","7/31/2017 3:45:00 PM","2472.25"
"High","8/1/2017 9:30:00 AM","2475"
"Low","8/1/2017 10:25:00 AM","2468.25"
"High","8/2/2017 9:38:00 AM","2475.75"
"Low","8/2/2017 11:03:00 AM","2463.5"
"High","8/2/2017 3:59:00 PM","2474.75"
"High","8/3/2017 9:30:00 AM","2473"
"Low","8/3/2017 3:33:00 PM","2466"
"High","8/3/2017 4:04:00 PM","2473"
"High","8/4/2017 9:48:00 AM","2477.75"
"Low","8/4/2017 10:08:00 AM","2469.25"
"Low","8/7/2017 9:37:00 AM","2473"
"Low","8/8/2017 9:40:00 AM","2472.5"
"High","8/8/2017 12:10:00 PM","2488.5"
"Low","8/8/2017 3:36:00 PM","2467.5"
"High","8/9/2017 9:35:00 AM","2466.5"
"Low","8/9/2017 9:42:00 AM","2459.25"
"High","8/9/2017 9:58:00 AM","2467.75"
"Low","8/9/2017 10:05:00 AM","2462"
"High","8/9/2017 10:35:00 AM","2469"
"Low","8/9/2017 11:19:00 AM","2463.25"
"High","8/9/2017 12:04:00 PM","2470.5"
"Low","8/9/2017 2:49:00 PM","2463.25"
"High","8/10/2017 9:34:00 AM","2463"
"Low","8/10/2017 10:08:00 AM","2449"
"High","8/10/2017 10:37:00 AM","2456.25"
"Low","8/10/2017 12:35:00 PM","2442.75"
"High","8/10/2017 1:05:00 PM","2450"
"Low","8/10/2017 2:04:00 PM","2445"
"High","8/10/2017 2:32:00 PM","2453.5"
"High","8/11/2017 9:36:00 AM","2442.5"
"Low","8/11/2017 9:49:00 AM","2436"
"High","8/11/2017 10:42:00 AM","2446.5"
"Low","8/11/2017 11:30:00 AM","2438.75"
"High","8/11/2017 2:15:00 PM","2445.5"
"Low","8/11/2017 3:19:00 PM","2436"
"Low","8/14/2017 9:30:00 AM","2454"
"High","8/14/2017 10:52:00 AM","2466.5"
"High","8/14/2017 10:53:00 AM","2466.25"
"High","8/15/2017 9:30:00 AM","2468.5"
"Low","8/15/2017 1:05:00 PM","2460.5"
"Low","8/16/2017 9:40:00 AM","2466.75"
"High","8/16/2017 12:26:00 PM","2474"
"Low","8/16/2017 2:24:00 PM","2462.5"
"Low","8/17/2017 9:30:00 AM","2459"
"High","8/17/2017 9:45:00 AM","2464"
"Low","8/17/2017 10:20:00 AM","2449.75"
"High","8/17/2017 10:34:00 AM","2456.75"
"Low","8/17/2017 10:44:00 AM","2450.25"
"High","8/17/2017 11:06:00 AM","2458"
"Low","8/17/2017 1:03:00 PM","2440.75"
"High","8/17/2017 1:37:00 PM","2445.75"
"High","8/18/2017 9:30:00 AM","2427.5"
"Low","8/18/2017 9:59:00 AM","2419.5"
"High","8/18/2017 10:16:00 AM","2427.75"
"Low","8/18/2017 11:13:00 AM","2420.5"
"High","8/18/2017 11:54:00 AM","2435.5"
"Low","8/18/2017 12:24:00 PM","2430"
"High","8/18/2017 12:44:00 PM","2439.5"
"Low","8/18/2017 3:59:00 PM","2423.75"
"High","8/21/2017 9:41:00 AM","2426.25"
"Low","8/21/2017 10:23:00 AM","2415.75"
"High","8/21/2017 12:33:00 PM","2429.5"
"Low","8/21/2017 3:14:00 PM","2422"
"Low","8/22/2017 9:30:00 AM","2432.75"
"Low","8/23/2017 9:30:00 AM","2438.75"
"High","8/23/2017 11:40:00 AM","2447.75"
"Low","8/23/2017 1:54:00 PM","2441.5"
"High","8/23/2017 3:37:00 PM","2447.75"
"High","8/23/2017 4:13:00 PM","2442"
"High","8/24/2017 9:35:00 AM","2449"
"Low","8/24/2017 10:09:00 AM","2437"
"High","8/24/2017 10:56:00 AM","2446.25"
"Low","8/24/2017 11:34:00 AM","2434.5"
"High","8/24/2017 1:17:00 PM","2444.25"
"Low","8/24/2017 3:50:00 PM","2436.5"
"Low","8/25/2017 9:34:00 AM","2445.5"
"High","8/25/2017 10:01:00 AM","2453.5"
"Low","8/25/2017 11:34:00 AM","2441"
"High","8/25/2017 3:12:00 PM","2449.5"
"High","8/28/2017 9:30:00 AM","2449.25"
"Low","8/28/2017 10:32:00 AM","2440.5"
"High","8/28/2017 11:03:00 AM","2445.5"
"Low","8/28/2017 12:44:00 PM","2438"
"Low","8/29/2017 9:30:00 AM","2426.25"
"Low","8/30/2017 9:35:00 AM","2442.75"
"High","8/30/2017 2:40:00 PM","2459.75"
"Low","8/31/2017 9:30:00 AM","2462.5"
"High","8/31/2017 10:23:00 AM","2469"
"Low","8/31/2017 11:32:00 AM","2463.25"
"High","8/31/2017 3:43:00 PM","2474.25"
"High","8/31/2017 3:59:00 PM","2471"
"Low","9/1/2017 9:56:00 AM","2473"
"High","9/1/2017 1:03:00 PM","2479.75"
"High","9/5/2017 9:32:00 AM","2471.25"
"Low","9/5/2017 9:44:00 AM","2465.75"
"High","9/5/2017 10:17:00 AM","2471"
"Low","9/5/2017 1:13:00 PM","2445.75"
"High","9/5/2017 2:29:00 PM","2457.5"
"Low","9/5/2017 3:07:00 PM","2451.75"
"Low","9/6/2017 9:50:00 AM","2462"
"High","9/6/2017 10:07:00 AM","2467"
"Low","9/6/2017 11:13:00 AM","2458.25"
"High","9/6/2017 3:25:00 PM","2469"
"High","9/6/2017 3:27:00 PM","2469"
"High","9/7/2017 9:30:00 AM","2468.75"
"Low","9/7/2017 10:13:00 AM","2460"
"High","9/7/2017 10:55:00 AM","2467.25"
"Low","9/7/2017 12:34:00 PM","2459.5"
"Low","9/8/2017 9:32:00 AM","2456.75"
"High","9/8/2017 11:04:00 AM","2465"
"Low","9/8/2017 3:30:00 PM","2457.5"
"Low","9/11/2017 9:30:00 AM","2474"
"High","9/12/2017 9:35:00 AM","2493.5"
"Low","9/12/2017 10:47:00 AM","2487.75"
"Low","9/13/2017 9:31:00 AM","2489.25"
"Low","9/14/2017 9:39:00 AM","2489"
"Low","9/15/2017 10:06:00 AM","2490.5"
"Low","9/18/2017 9:31:00 AM","2499.5"
"High","9/18/2017 9:52:00 AM","2506"
"Low","9/18/2017 2:37:00 PM","2497.75"
"High","9/20/2017 9:30:00 AM","2507.25"
"Low","9/20/2017 2:24:00 PM","2494"
"High","9/21/2017 9:32:00 AM","2504.5"
"Low","9/21/2017 10:25:00 AM","2496.75"
"High","9/21/2017 12:13:00 PM","2503.25"
"High","9/21/2017 12:15:00 PM","2503"
"Low","9/22/2017 9:30:00 AM","2494.75"
"Low","9/25/2017 9:38:00 AM","2495"
"High","9/25/2017 10:21:00 AM","2500"
"Low","9/25/2017 11:04:00 AM","2485"
"High","9/25/2017 11:27:00 AM","2492.75"
"Low","9/25/2017 12:21:00 PM","2486"
"High","9/25/2017 1:41:00 PM","2493.25"
"Low","9/25/2017 2:36:00 PM","2488.25"
"High","9/26/2017 9:53:00 AM","2501.25"
"Low","9/26/2017 11:27:00 AM","2492.25"
"High","9/26/2017 1:55:00 PM","2499.25"
"Low","9/26/2017 3:57:00 PM","2493.5"
"High","9/27/2017 9:35:00 AM","2505"
"Low","9/27/2017 10:55:00 AM","2493"
"High","9/27/2017 3:22:00 PM","2509.25"
"Low","9/28/2017 10:18:00 AM","2500"
"Low","9/29/2017 9:52:00 AM","2504.75"
"Low","10/2/2017 9:30:00 AM","2517.5"
"High","10/2/2017 10:18:00 AM","2525.75"
"Low","10/2/2017 12:00:00 PM","2519"
"Low","10/3/2017 11:13:00 AM","2525.75"
"Low","10/4/2017 9:47:00 AM","2529"
"High","10/4/2017 12:18:00 PM","2538"
"Low","10/4/2017 1:47:00 PM","2532.75"
"Low","10/5/2017 9:30:00 AM","2537.25"
"High","10/6/2017 10:29:00 AM","2547.5"
"Low","10/6/2017 12:02:00 PM","2541.5"
"High","10/9/2017 9:35:00 AM","2550"
"Low","10/9/2017 3:13:00 PM","2539.25"
"Low","10/10/2017 9:30:00 AM","2548"
"High","10/10/2017 9:42:00 AM","2553.25"
