#TYPE Selected.System.Management.Automation.PSCustomObject
"High","Date","Low"
"2501.25","9/26/2017 9:54:00 AM",
"2497.75","9/26/2017 12:30:00 PM",
"2499.25","9/26/2017 1:55:00 PM",
"2505","9/27/2017 9:35:00 AM",
"2509.25","9/27/2017 3:22:00 PM",
"2503.5","9/28/2017 9:31:00 AM",
"2504","9/28/2017 9:49:00 AM",
"2505.75","9/28/2017 10:42:00 AM",
"2508.25","9/28/2017 2:01:00 PM",
"2509.25","9/29/2017 9:35:00 AM",
"2525.75","10/2/2017 10:18:00 AM",
"2529.25","10/3/2017 9:53:00 AM",
"2532.5","10/4/2017 9:39:00 AM",
"2538","10/4/2017 12:18:00 PM",
"2536.25","10/4/2017 3:24:00 PM",
"2547.5","10/6/2017 10:30:00 AM",
"2547.5","10/6/2017 4:00:00 PM",
"2546.5","10/6/2017 4:01:00 PM",
"2550","10/9/2017 9:35:00 AM",
"2547","10/9/2017 11:30:00 AM",
"2553.25","10/10/2017 9:43:00 AM",
"2547","10/10/2017 10:30:00 AM",
"2548.5","10/10/2017 1:41:00 PM",
"2549.5","10/11/2017 9:33:00 AM",
"2552","10/11/2017 2:18:00 PM",
"2553.25","10/12/2017 12:08:00 PM",
"2554.25","10/13/2017 9:30:00 AM",
"2555.5","10/13/2017 10:30:00 AM",
"2555.5","10/13/2017 1:25:00 PM",
"2557.75","10/16/2017 9:45:00 AM",
"2556.25","10/17/2017 10:04:00 AM",
"2556.25","10/17/2017 11:17:00 AM",
